time,o_taz,d_taz,total
15,26510110,21510111,203.878
15,26510110,21510120,221.364
15,26510110,21510130,541.1
15,26510110,21510330,274.527
15,26510110,26510110,1710.68
15,26510110,26510130,569.933
15,26510110,26510310,330.848
15,26510130,21510111,214.054
15,26510130,21510120,226.979
15,26510130,21510130,481.972
15,26510130,21510330,212.533
15,26510130,26510110,812.527
15,26510130,26510130,1017.4
15,26510130,26510310,354.826
15,26510310,21510111,227.622
15,26510310,21510120,239.963
15,26510310,21510130,433.956
15,26510310,21510330,147.381
15,26510310,26510110,395.239
15,26510310,26510130,284.879
15,26510310,26510310,653.274
16,21510111,21510111,1109.09
16,21510111,21510120,304.615
16,21510111,21510130,708.402
16,21510111,21510330,275.24
16,21510111,26510110,483.84
16,21510111,26510130,314.69
16,21510111,26510310,309.532
16,21510120,21510111,304.191
16,21510120,21510120,1028.98
16,21510120,21510130,602.008
16,21510120,21510330,213.091
16,21510120,26510110,427.154
16,21510120,26510130,281.552
16,21510120,26510310,350.195
16,21510130,21510111,394.38
16,21510130,21510120,543.744
16,21510130,21510130,3398.23
16,21510130,21510330,489.485
16,21510130,26510110,677.146
16,21510130,26510130,470.063
16,21510130,26510310,500.288
16,21510330,21510111,209.632
16,21510330,21510120,85.7584
16,21510330,21510130,527.6
16,21510330,21510330,634.175
16,21510330,26510110,363.123
16,21510330,26510130,198.222
16,21510330,26510310,164.78
16,26510110,21510111,211.574
16,26510110,21510120,229.721
16,26510110,21510130,561.527
16,26510110,21510330,284.89
16,26510110,26510110,1775.25
16,26510110,26510130,591.448
16,26510110,26510310,343.337
16,26510130,21510111,222.134
16,26510130,21510120,235.547
16,26510130,21510130,500.167
16,26510130,21510330,220.556
16,26510130,26510110,843.2
16,26510130,26510130,1055.81
16,26510130,26510310,368.221
16,26510310,21510111,236.215
16,26510310,21510120,249.021
16,26510310,21510130,450.338
16,26510310,21510330,152.945
16,26510310,26510110,410.16
16,26510310,26510130,295.633
16,26510310,26510310,677.935
17,21510111,21510111,1230.66
17,21510111,21510120,338.005
17,21510111,21510130,786.052
17,21510111,21510330,305.41
17,21510111,26510110,536.875
17,21510111,26510130,349.184
17,21510111,26510310,343.46
17,21510120,21510111,337.534
17,21510120,21510120,1141.77
17,21510120,21510130,667.996
